"","Instrument","Comp.1","Comp.2","Comp.3","price","dividend","eps","PE.Comp.1","Div.Yield.Comp.1","PE.Comp.2","Div.Yield.Comp.2","PE.Comp.3","Div.Yield.Comp.3"
"58","IHG",-0.114611733130211,-0.0153765559162928,0.0517794653646034,4259,0.76436,1.63768,-298.062729838288,-2.05692942792693e-05,-39.9887350688115,-2.75962063399333e-06,134.659239282305,9.29282745857908e-06
"59","RTO",-0.104806381225185,-0.0246897261590978,0.0472352144461885,258.1,0.0337,0.1063,-254.473443031234,-1.36845216865119e-05,-59.9474912668216,-3.22372635242772e-06,114.688700362759,6.16748053791768e-06
"60","INF",-0.109525686040535,-0.00950444312533046,0.0811912442933573,644,0.193,0.421,-167.540479358918,-3.28236916239492e-05,-14.5388631180827,-2.84838124718754e-06,124.197532838295,2.43321586158664e-05
"61","GKN",-0.126479871921576,-0.0250349696194532,-0.0604318619831496,350.2,0.0885,0.31,-142.881455312697,-3.19630744290677e-05,-28.2814398733307,-6.32665565768591e-06,-68.2685098919322,-1.52719011579347e-05
"62","PRU",-0.134737151907847,0.0296229985942714,-0.114873515848234,1748.5,0.435,1.313,-179.427197342627,-3.3520538221283e-05,39.4484486230644,7.36974800600976e-06,-152.97512754047,-2.85787700280136e-05
"63","PFG",-0.121621596579518,0.122871961805128,-0.0168116106654669,3078,1.346,1.757,-213.062762818302,-5.31847527602441e-05,215.253214818545,5.37315336548739e-05,-29.4514158385356,-7.35166600250762e-06
"64","WOS",-0.126067589580367,-0.00992572585684881,-0.0105228388600848,4835,1,2.462,-247.577902364368,-2.60739585481627e-05,-19.4926419650138,-2.05289055984464e-06,-20.66528265171,-2.17638859567421e-06
"65","VOD",-0.109066882895069,-0.0529082012295699,0.0560166380852657,220.15,0.12605,0.05457,-440.0050260097,-6.24477882758273e-05,-213.445858542969,-3.02933398364174e-05,225.986125608782,3.20731193760969e-05
"66","PSON",-0.0642787708645149,-0.0764008485028169,-0.011270608895191,695.5,0.52,0.588,-76.0304168984186,-4.80588941043102e-05,-90.368690703587,-5.71221297217323e-05,-13.3311368819819,-8.42662347304003e-06
"67","CCH",-0.100464918065857,-0.0553272229801768,0.0733791811700124,2209,0.37558,0.8297,-267.478611555356,-1.70813100620981e-05,-147.303646574919,-9.40688022041413e-06,195.365326267997,1.24761217129168e-05
"68","SVT",-0.101170398882483,-0.0547383585144372,0.170635349702921,2402,0.815,1.06746,-227.653774488716,-3.43271753077535e-05,-123.172331658028,-1.85727569480709e-05,383.963904957952,5.78966736086096e-05
"69","BDEV",-0.115609183923823,0.201530764473851,-0.0498758563289264,612,0.307,0.543,-130.299853704199,-5.7993495857212e-05,227.139646147324,0.000101094680871687,-56.2136723265248,-2.50194246617327e-05
